State,State abbreviation,FIPS State code,State nameplate capacity (MW),State annual heat input from combustion (MMBtu),State ozone season heat input from combustion (MMBtu),State total annual heat input (MMBtu),State total ozone season heat input (MMBtu),State annual net generation (MWh),State ozone season net generation (MWh),State annual NOx emissions (tons),State ozone season NOx emissions (tons),State annual SO2 emissions (tons),State annual CO2 emissions (tons),State annual CH4 emissions (lbs),State annual N2O emissions (lbs),State annual CO2 equivalent emissions (tons),State annual Hg emissions (lbs),State annual NOx total output emission rate (lb/MWh),State ozone season NOx total output emission rate (lb/MWh),State annual SO2 total output emission rate (lb/MWh),State annual CO2 total output emission rate (lb/MWh),State annual CH4 total output emission rate (lb/MWh),State annual N2O total output emission rate (lb/MWh),State annual CO2 equivalent total output emission rate (lb/MWh),State annual Hg total output emission rate (lb/MWh),State annual NOx input emission rate (lb/MMBtu),State ozone season NOx input emission rate (lb/MMBtu),State annual SO2 input emission rate (lb/MMBtu),State annual CO2 input emission rate (lb/MMBtu),State annual Hg input emission rate (lb/MMBtu),State annual NOx combustion output emission rate (lb/MWh),State ozone season NOx combustion output emission rate (lb/MWh),State annual SO2 combustion output emission rate (lb/MWh),State annual CO2 combustion output emission rate (lb/MWh),State annual CH4 combustion output emission rate (lb/MWh),State annual N2O combustion output emission rate (lb/MWh),State annual Hg combustion output emission rate (lb/MWh),State annual NOx coal output emission rate (lb/MWh),State annual NOx oil output emission rate (lb/MWh),State annual NOx gas output emission rate (lb/MWh),State annual NOx fossil fuel output emission rate (lb/MWh),State ozone season NOx coal output emission rate (lb/MWh),State ozone season NOx oil output emission rate (lb/MWh),State ozone season NOx gas output emission rate (lb/MWh),State ozone season Nox fossil fuel output emission rate (lb/MWh),State annual SO2 coal output emission rate (lb/MWh),State annual SO2 oil output emission rate (lb/MWh),State annual SO2 gas output emission rate (lb/MWh),State annual SO2 fossil fuel output emission rate (lb/MWh),State annual CO2 coal output emission rate (lb/MWh),State annual CO2 oil output emission rate (lb/MWh),State annual CO2 gas output emission rate (lb/MWh),State annual CO2 fossil fuel output emission rate (lb/MWh),State annual Hg coal output emission rate (lb/MWh),State annual Hg fossil fuel output emission rate (lb/MWh),State annual NOx coal input emission rate (lb/MMBtu),State annual NOx oil input emission rate (lb/MMBtu),State annual NOx gas input emission rate (lb/MMBtu),State annual NOx fossil fuel input emission rate (lb/MMBtu),State ozone season NOx coal input emission rate (lb/MMBtu),State ozone season NOx oil input emission rate (lb/MMBtu),State ozone season NOx gas input emission rate (lb/MMBtu),State ozone season NOx fossil fuel input emission rate (lb/MMBtu),State annual SO2 coal input emission rate (lb/MMBtu),State annual SO2 oil input emission rate (lb/MMBtu),State annual SO2 gas input emission rate (lb/MMBtu),State annual SO2 fossil fuel input emission rate (lb/MMBtu),State annual CO2 coal input emission rate (lb/MMBtu),State annual CO2 oil input emission rate (lb/MMBtu),State annual CO2 gas input emission rate (lb/MMBtu),State annual CO2 fossil fuel input emission rate (lb/MMBtu),State annual Hg coal input emission rate (lb/MMBtu),State annual Hg fossil fuel input emission rate (lb/MMBtu),State annual NOx non-baseload output emission rate (lb/MWh),State ozone season NOx non-baseload output emission rate (lb/MWh),State annual SO2 non-baseload output emission rate (lb/MWh) ,State annual CO2 non-baseload  output emission rate (lb/MWh) ,State annual CH4 non-baseload output emission rate (lb/MWh),State annual N2O non-baseload output emission rate (lb/MWh),State annual Hg non-baseload  output emission rate (lb/MWh) ,State annual coal net generation (MWh),State annual oil net generation (MWh),State annual gas net generation (MWh),State annual nuclear net generation (MWh),State annual hydro net generation (MWh),State annual biomass net generation (MWh),State annual wind net generation (MWh),State annual solar net generation (MWh),State annual geothermal net generation (MWh),State annual other fossil net generation (MWh),State annual other unknown/ purchased fuel net generation (MWh),State annual total nonrenewables net generation (MWh),State annual total renewables net generation (MWh),State annual total nonhydro renewables net generation (MWh),State annual total combustion net generation (MWh),State annual total noncombustion net generation (MWh),State coal generation percent (resource mix),State oil generation percent (resource mix),State gas generation percent (resource mix),State nuclear generation percent (resource mix),State hydro generation percent (resource mix),State biomass generation percent (resource mix),State wind generation percent (resource mix),State solar generation percent (resource mix),State geothermal generation percent (resource mix),State other fossil  generation percent (resource mix),State other unknown/ purchased fuel generation percent (resource mix),State total nonrenewables generation percent (resource mix),State total renewables generation percent (resource mix),State total nonhydro renewables generation percent (resource mix),State total combustion generation percent (resource mix),State total noncombustion generation percent (resource mix)
x,PSTATABB,FIPSST,NAMEPCAP,STHTIAN,STHTIOZ,STHTIANT,STHTIOZT,STNGENAN,STNGENOZ,STNOXAN,STNOXOZ,STSO2AN,STCO2AN,STCH4AN,STN2OAN,STCO2EQA,STHGAN,STNOXRTA,STNOXRTO,STSO2RTA,STCO2RTA,STCH4RTA,STN2ORTA,STC2ERTA,STHGRTA,STNOXRA,STNOXRO,STSO2RA,STCO2RA,STHGRA,STNOXCRT,STNOXCRO,STSO2CRT,STCO2CRT,STCH4CRT,STN2OCRT,STHGCRT,STCNOXRT,STONOXRT,STGNOXRT,STFSNXRT,STCNXORT,STONXORT,STGNXORT,STFSNORT,STCSO2RT,STOSO2RT,STGSO2RT,STFSS2RT,STCCO2RT,STOCO2RT,STGCO2RT,STFSC2RT,STCHGRT,STFSHGRT,STCNOXR,STONOXR,STGNOXR,STFSNXR,STCNXOR,STONXOR,STGNXOR,STFSNOR,STCSO2R,STOSO2R,STGSO2R,STFSS2R,STCCO2R,STOCO2R,STGCO2R,STFSC2R,STCHGR,STFSHGR,STNBNOX,STNBNXO,STNBSO2,STNBCO2,STNBCH4,STNBN2O,STNBHG,STGENACL,STGENAOL,STGENAGS,STGENANC,STGENAHY,STGENABM,STGENAWI,STGENASO,STGENAGT,STGENAOF,STGENAOP,STGENATN,STGENATR,STGENATH,STGENACY,STGENACN,STCLPR,STOLPR,STGSPR,STNCPR,STHYPR,STBMPR,STWIPR,STSOPR,STGTPR,STOFPR,STOPPR,STTNPR,STTRPR,STTHPR,STCYPR,STCNPR
Alaska,AK,02,"3,439","42,553,081","16,236,971","59,433,354","22,529,498","6,335,034","2,406,057","21,008","7,817","1,748","2,932,683","398,059","57,866","2,945,831",--,6.632,6.498,0.552,925.862,0.063,0.009,930.013,--,0.987,0.963,0.082,137.836,--,9.323,9.135,0.776,"1,301.511",0.088,0.013,--,1.353,16.693,8.786,9.265,1.070,16.339,8.792,8.997,1.655,2.862,0.030,0.778,"2,074.237","1,541.578","1,096.763","1,311.311",--,--,0.138,1.791,0.936,0.983,0.113,1.753,0.936,0.958,0.169,0.307,0.003,0.083,212.251,165.353,116.891,139.146,--,--,9.240,8.826,0.948,"1,395.147",0.103,0.015,--,"594,139","831,330","3,040,487",0,"1,659,152","43,017","169,301",0,0,0,"-2,392","4,463,564","1,871,470","212,318","4,506,581","1,828,453",9.4,13.1,48.0,0.0,26.2,0.7,2.7,0.0,0.0,0.0,0.0,70.4,29.5,3.4,71.1,28.9
Alabama,AL,01,"38,354","824,393,497","395,164,798","1,310,962,923","593,145,427","142,863,240","64,618,103","29,881","12,554","28,836","65,211,148","9,884,812","1,442,043","65,536,194",--,0.418,0.389,0.404,912.917,0.069,0.010,917.468,--,0.072,0.064,0.070,158.204,--,0.626,0.581,0.604,"1,366.148",0.104,0.015,--,1.122,32.322,0.152,0.604,1.005,32.298,0.120,0.529,0.891,3.068,0.266,0.557,"2,040.940","1,727.499",850.397,"1,404.737",--,--,0.107,3.056,0.021,0.069,0.095,3.054,0.017,0.060,0.085,0.290,0.037,0.064,194.863,163.326,118.814,161.441,--,--,0.755,0.597,1.007,"1,314.008",0.092,0.013,--,"34,258,405","45,832","57,803,618","39,901,879","7,462,945","3,335,246",0,"31,261",0,"24,053",0,"132,033,788","10,829,452","3,366,507","95,467,155","47,396,085",24.0,0.0,40.5,27.9,5.2,2.3,0.0,0.0,0.0,0.0,0.0,92.4,7.6,2.4,66.8,33.2
Arkansas,AR,05,"19,536","387,648,456","187,652,732","561,261,411","267,815,481","60,445,059","28,838,751","27,940","13,666","48,694","33,717,770","6,322,493","925,414","33,927,596",--,0.924,0.948,1.611,"1,115.650",0.105,0.015,"1,122.593",--,0.144,0.146,0.251,173.961,--,1.288,1.320,2.245,"1,554.205",0.146,0.021,--,2.101,,0.210,1.290,2.183,,0.250,1.301,3.911,,0.005,2.235,"2,174.785",,862.987,"1,611.949",--,--,0.202,,0.029,0.142,0.210,,0.034,0.144,0.376,,0.001,0.247,208.866,,118.843,177.910,--,--,1.358,1.355,2.311,"1,455.784",0.124,0.018,--,"23,800,070","42,363","18,171,187","13,421,022","3,608,810","1,369,828",0,"26,142",0,"5,637",0,"55,440,280","5,004,780","1,395,970","43,389,085","17,055,974",39.4,0.1,30.1,22.2,6.0,2.3,0.0,0.0,0.0,0.0,0.0,91.7,8.3,2.3,71.8,28.2
Arizona,AZ,04,"40,135","602,858,094","315,929,076","1,047,151,854","506,075,202","108,734,631","53,847,909","33,982","16,241","12,955","50,682,560","7,318,405","1,204,365","50,946,080",--,0.625,0.603,0.238,932.225,0.067,0.011,937.072,--,0.113,0.103,0.043,168.141,--,1.048,1.011,0.400,"1,563.018",0.113,0.019,--,2.003,47.524,0.162,1.034,1.995,45.481,0.151,0.917,0.836,12.698,0.006,0.399,"2,315.441","7,564.857",894.627,"1,567.773",--,--,0.179,1.026,0.021,0.112,0.179,1.011,0.020,0.102,0.075,0.274,0.001,0.043,206.739,163.326,118.941,169.228,--,--,0.871,0.758,0.347,"1,400.953",0.095,0.014,--,"30,403,392","51,595","34,182,808","32,377,477","7,226,393","214,378","541,582","3,737,659",0,0,0,"97,015,272","11,720,012","4,493,619","64,852,172","43,883,111",28.0,0.0,31.4,29.8,6.6,0.2,0.5,3.4,0.0,0.0,0.0,89.2,10.8,4.1,59.6,40.4
California,CA,06,"106,793","807,555,205","372,488,964","1,681,193,081","796,911,571","197,323,837","94,547,677","46,857","21,065","3,611","44,648,567","5,081,974","622,374","44,798,293",--,0.475,0.446,0.037,452.541,0.026,0.003,454.059,--,0.116,0.113,0.009,110.577,--,0.888,0.833,0.068,846.160,0.048,0.006,--,1.236,30.239,0.625,0.648,1.255,37.985,0.602,0.634,0.001,1.587,0.008,0.010,"1,157.816","1,326.333",867.885,867.421,--,--,0.223,3.869,0.085,0.088,0.222,4.810,0.082,0.087,0.000,0.203,0.001,0.001,208.527,169.714,117.685,117.897,--,--,0.743,0.710,0.023,884.751,0.036,0.004,--,"318,876","174,814","97,006,836","18,907,578","28,682,772","6,122,047","13,442,864","19,301,101","11,457,299","1,426,816","482,833","118,317,753","79,006,083","50,323,311","105,532,221","91,791,615",0.2,0.1,49.2,9.6,14.5,3.1,6.8,9.8,5.8,0.7,0.2,60.0,40.0,25.5,53.5,46.5
Colorado,CO,08,"19,873","428,759,601","193,123,998","538,764,471","233,434,681","54,418,480","23,575,729","30,471","13,287","19,170","39,953,306","7,935,324","1,142,854","40,213,769",--,1.120,1.127,0.705,"1,468.373",0.146,0.021,"1,477.945",--,0.142,0.138,0.089,186.367,--,1.422,1.431,0.895,"1,864.764",0.185,0.027,--,1.726,581.829,0.316,1.404,1.693,593.153,0.311,1.356,1.160,118.511,0.014,0.898,"2,137.239","70,133.421",986.923,"1,874.198",--,--,0.164,1.355,0.038,0.140,0.161,1.355,0.037,0.136,0.110,0.276,0.002,0.090,203.214,163.326,118.952,187.236,--,--,1.213,1.160,0.805,"1,681.478",0.146,0.021,--,"29,948,675","6,975","12,679,439",0,"1,608,385","162,305","9,421,204","538,109",0,0,"53,388","42,688,477","11,730,003","10,121,618","42,850,782","11,567,698",55.0,0.0,23.3,0.0,3.0,0.3,17.3,1.0,0.0,0.0,0.1,78.4,21.6,18.6,78.7,21.3
Connecticut,CT,09,"11,789","161,091,277","69,309,766","336,859,456","140,221,698","36,496,560","15,147,600","5,854","2,621",635,"9,096,160","2,210,701","282,659","9,163,103",--,0.321,0.346,0.035,498.467,0.061,0.008,502.135,--,0.073,0.076,0.008,112.932,--,0.596,0.643,0.065,925.626,0.112,0.014,--,1.698,7.351,0.226,0.266,2.092,5.091,0.248,0.298,2.635,3.157,0.009,0.046,"2,668.720","2,962.809",854.455,880.139,--,--,0.133,0.371,0.031,0.036,0.137,0.312,0.034,0.040,0.207,0.159,0.001,0.006,209.741,149.666,117.435,119.335,--,--,0.942,0.992,0.199,"1,039.569",0.130,0.017,--,"177,370","91,735","17,951,503","16,575,492","229,732","1,433,468","12,742","24,518",0,0,0,"34,796,100","1,700,459","1,470,728","19,654,076","16,842,484",0.5,0.3,49.2,45.4,0.6,3.9,0.0,0.1,0.0,0.0,0.0,95.3,4.7,4.0,53.9,46.1
District of Columbia,DC,11,25,"763,191","338,294","763,191","338,294","76,474","33,336",175,76,4,"18,422","1,796",188,"18,470",--,4.578,4.551,0.098,481.786,0.023,0.002,483.042,--,0.459,0.448,0.010,48.276,--,4.578,4.551,0.098,481.786,0.023,0.002,--,0.000,0.000,3.997,3.997,0.000,0.000,4.005,4.005,0.000,0.000,0.194,0.194,0.000,0.000,"1,555.026","1,555.026",--,--,0.000,0.000,0.300,0.300,0.000,0.000,0.301,0.301,0.000,0.000,0.015,0.015,0.000,0.000,116.889,116.889,--,--,4.503,4.474,0.110,619.578,0.025,0.003,--,0,"1,001","22,702",0,0,"52,771",0,0,0,0,0,"23,703","52,771","52,771","76,474",0,0.0,1.3,29.7,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,31.0,69.0,69.0,100.0,0.0
Delaware,DE,10,"4,011","63,609,070","35,135,093","64,129,816","35,358,858","8,731,261","4,614,139","1,732",907,526,"3,874,126","285,365","35,433","3,882,516",--,0.397,0.393,0.121,887.415,0.033,0.004,889.337,--,0.054,0.052,0.017,121.810,--,0.399,0.396,0.121,893.185,0.033,0.004,--,0.861,0.737,0.233,0.333,0.824,0.717,0.239,0.353,1.940,0.076,0.005,0.140,"2,210.994","1,334.940",903.985,"1,039.965",--,--,0.080,0.066,0.030,0.039,0.078,0.065,0.030,0.041,0.180,0.007,0.001,0.017,205.183,119.119,114.980,123.116,--,--,0.406,0.416,0.171,995.168,0.040,0.005,--,"479,350","62,571","7,787,469",0,0,"67,987","5,321","51,086",0,"277,477",0,"8,606,867","124,394","124,394","8,674,854","56,407",5.5,0.7,89.2,0.0,0.0,0.8,0.1,0.6,0.0,3.2,0.0,98.6,1.4,1.4,99.4,0.6
Florida,FL,12,"100,751","1,743,606,598","856,885,591","2,068,238,494","994,497,754","238,226,428","113,886,541","65,083","31,909","44,555","121,996,344","18,267,029","2,493,685","122,563,560",--,0.546,0.560,0.374,"1,024.205",0.077,0.010,"1,028.967",--,0.075,0.074,0.051,139.936,--,0.624,0.640,0.427,"1,170.185",0.088,0.012,--,1.415,1.923,0.249,0.537,1.451,2.068,0.267,0.573,1.593,0.249,0.031,0.421,"2,088.543","1,812.025",893.703,"1,193.349",--,--,0.133,0.135,0.033,0.065,0.135,0.142,0.035,0.068,0.149,0.017,0.004,0.051,195.924,127.053,119.493,144.396,--,--,0.609,0.628,0.434,"1,205.661",0.080,0.011,--,"39,429,468","2,820,303","158,459,723","29,320,022","174,551","6,098,942",0,"223,983",0,"23,790","1,675,646","231,728,952","6,497,476","6,322,925","208,507,872","29,718,556",16.6,1.2,66.5,12.3,0.1,2.6,0.0,0.1,0.0,0.0,0.7,97.3,2.7,2.7,87.5,12.5
Georgia,GA,13,"51,336","843,098,444","436,433,403","1,238,569,690","602,121,669","132,902,274","63,614,414","29,621","10,627","23,887","66,567,671","11,421,385","1,667,514","66,946,060",--,0.446,0.334,0.359,"1,001.754",0.086,0.013,"1,007.448",--,0.070,0.049,0.057,157.912,--,0.619,0.464,0.500,"1,392.059",0.119,0.017,--,1.204,2.133,0.113,0.575,0.715,1.793,0.132,0.396,0.970,1.367,0.006,0.411,"2,268.129","1,301.146",888.222,"1,464.213",--,--,0.110,0.315,0.015,0.064,0.065,0.273,0.017,0.043,0.089,0.202,0.001,0.046,207.020,192.306,118.925,164.165,--,--,0.781,0.559,0.656,"1,585.204",0.140,0.021,--,"37,890,475","211,845","52,862,465","34,480,662","1,901,511","4,573,416",0,"880,923",0,"97,549","3,429","125,546,425","7,355,850","5,454,339","95,639,179","37,263,096",28.5,0.2,39.8,25.9,1.4,3.4,0.0,0.7,0.0,0.1,0.0,94.5,5.5,4.1,72.0,28.0
Hawaii,HI,15,"3,502","92,598,221","39,645,315","102,555,757","44,198,317","9,948,845","4,316,642","22,345","9,128","37,332","7,571,577","1,562,895","240,099","7,625,203",--,4.492,4.229,7.505,"1,522.102",0.157,0.024,"1,532.882",--,0.483,0.461,0.806,163.536,--,5.038,4.744,8.417,"1,707.184",0.176,0.027,--,1.083,5.967,0.000,5.084,,5.830,0.000,4.806,14.236,7.729,0.000,8.905,"2,257.710","1,603.690",0.000,"1,721.957",--,--,0.100,0.608,0.000,0.509,,0.596,0.000,0.483,1.314,0.788,0.000,0.891,208.432,163.448,0.000,172.262,--,--,6.402,6.247,7.075,"1,605.470",0.151,0.024,--,"1,497,380","6,640,316",0,0,"90,849","556,329","639,127","88,511","260,102","63,380","112,852","8,313,927","1,634,918","1,544,069","8,870,256","1,078,589",15.1,66.7,0.0,0.0,0.9,5.6,6.4,0.9,2.6,0.6,1.1,83.6,16.4,15.5,89.2,10.8
Iowa,IA,19,"22,304","271,381,540","135,300,604","514,371,421","215,490,889","54,396,531","22,894,511","21,001","10,333","28,502","27,140,015","2,777,849","866,758","27,303,530",--,0.772,0.903,1.048,997.858,0.051,0.016,"1,003.870",--,0.155,0.153,0.210,200.014,--,1.463,1.711,1.986,"1,891.231",0.097,0.030,--,1.485,1.176,0.555,1.392,1.486,1.094,0.455,1.365,2.221,0.147,0.145,1.998,"2,015.283",574.702,"1,024.120","1,904.190",--,--,0.154,0.353,0.065,0.147,0.156,0.320,0.053,0.146,0.231,0.044,0.017,0.211,209.327,172.469,119.332,201.273,--,--,1.427,1.380,2.049,"1,845.556",0.091,0.029,--,"25,198,347","277,773","2,960,947","4,702,665","916,789","251,715","20,076,023",151,0,"12,121",0,"33,151,853","21,244,678","20,327,889","28,700,903","25,695,628",46.3,0.5,5.4,8.6,1.7,0.5,36.9,0.0,0.0,0.0,0.0,60.9,39.1,37.4,52.8,47.2
Idaho,ID,16,"6,212","28,060,258","13,908,852","136,799,676","63,133,182","15,660,938","7,196,515","2,090",912,521,"1,477,572","127,719","20,549","1,482,098",--,0.267,0.254,0.067,188.695,0.008,0.001,189.273,--,0.149,0.131,0.037,105.314,--,1.059,1.006,0.264,748.620,0.032,0.005,--,0.141,40.000,0.226,0.224,0.148,39.556,0.236,0.235,2.398,3.800,0.006,0.043,928.726,"2,090.600",885.369,886.061,--,--,0.025,3.125,0.030,0.030,0.026,3.150,0.031,0.031,0.427,0.297,0.001,0.006,165.438,163.328,118.759,119.317,--,--,0.770,0.715,0.295,776.542,0.033,0.006,--,"29,188",183,"3,321,462",0,"9,033,272","531,573","2,578,415","29,801","71,995",0,"65,048","3,415,882","12,245,056","3,211,784","3,947,455","11,713,483",0.2,0.0,21.2,0.0,57.7,3.4,16.5,0.2,0.5,0.0,0.4,21.8,78.2,20.5,25.2,74.8
Illinois,IL,17,"62,748","797,823,139","390,451,281","1,929,227,229","849,444,839","187,437,381","81,687,724","33,486","16,146","89,396","76,035,677","9,067,526","2,241,444","76,478,310",--,0.357,0.395,0.954,811.318,0.048,0.012,816.041,--,0.084,0.083,0.224,190.608,--,0.859,0.950,2.293,"1,950.001",0.116,0.029,--,0.928,24.886,0.415,0.808,0.937,25.317,0.428,0.819,2.915,5.367,0.389,2.313,"2,246.691","2,129.561","1,086.736","1,970.076",--,--,0.086,1.900,0.048,0.079,0.086,1.638,0.048,0.078,0.271,0.410,0.045,0.226,208.537,162.570,126.623,192.197,--,--,0.898,0.889,2.678,"1,973.172",0.122,0.029,--,"59,337,802","69,503","17,480,439","98,607,038","132,834","467,012","10,663,434","48,810",0,"207,080","423,431","176,125,292","11,312,090","11,179,256","77,985,266","109,452,116",31.7,0.0,9.3,52.6,0.1,0.2,5.7,0.0,0.0,0.1,0.2,94.0,6.0,6.0,41.6,58.4
Indiana,IN,18,"40,933","955,299,879","430,901,101","1,009,724,428","446,733,087","101,397,209","43,878,171","86,576","36,680","87,847","91,901,515","18,786,051","2,718,379","92,520,117",--,1.708,1.672,1.733,"1,812.703",0.185,0.027,"1,824.905",--,0.181,0.170,0.184,192.403,--,1.800,1.762,1.826,"1,910.486",0.195,0.028,--,2.144,-112.827,0.320,1.762,2.052,168.234,0.289,1.691,2.362,-39.030,0.092,1.887,"2,212.350","-14,656.498",975.166,"1,965.829",--,--,0.201,1.257,0.040,0.174,0.189,1.239,0.036,0.165,0.221,0.435,0.011,0.186,207.084,163.326,121.382,194.020,--,--,1.821,1.748,2.041,"1,985.715",0.198,0.029,--,"72,533,080","610,407","19,995,659",0,"426,265","452,212","4,899,474","225,841",0,"2,272,492","343,628","95,755,267","6,003,792","5,577,527","96,207,479","5,551,580",71.3,0.6,19.7,0.0,0.4,0.4,4.8,0.2,0.0,2.2,0.3,94.1,5.9,5.5,94.5,5.5
Kansas,KS,20,"19,888","281,254,621","141,071,396","498,126,040","226,211,703","47,599,990","21,467,039","18,062","9,556","7,160","28,454,163","6,132,900","890,047","28,656,516",--,0.759,0.890,0.301,"1,195.553",0.129,0.019,"1,204.056",--,0.128,0.135,0.051,202.337,--,1.433,1.681,0.568,"2,257.333",0.243,0.035,--,1.168,55.277,4.028,1.401,1.183,53.192,3.879,1.477,0.613,2.176,0.043,0.568,"2,348.710","3,396.417","1,259.513","2,262.592",--,--,0.104,2.516,0.380,0.126,0.105,2.376,0.389,0.133,0.055,0.099,0.004,0.051,209.703,154.592,118.712,202.835,--,--,1.737,1.857,0.835,"2,196.054",0.226,0.033,--,"23,096,064","28,324","2,027,207","8,246,042","30,538","58,832","14,110,881","2,102",0,0,1,"33,397,638","14,202,353","14,171,815","25,210,428","22,389,563",48.5,0.1,4.3,17.3,0.1,0.1,29.6,0.0,0.0,0.0,0.0,70.2,29.8,29.8,53.0,47.0
Kentucky,KY,21,"31,179","794,709,067","358,461,719","826,925,632","371,886,789","80,273,501","35,720,919","58,526","25,750","76,475","78,439,290","15,168,864","2,541,423","78,992,484",--,1.458,1.442,1.905,"1,954.301",0.189,0.032,"1,968.084",--,0.147,0.144,0.192,197.404,--,1.524,1.507,1.992,"2,043.120",0.198,0.033,--,1.613,,0.402,1.507,1.596,,0.444,1.484,2.180,,0.045,1.992,"2,166.985",,903.929,"2,055.810",--,--,0.152,,0.053,0.145,0.149,,0.056,0.142,0.205,,0.006,0.192,203.748,,118.801,198.228,--,--,1.534,1.547,1.945,"2,026.474",0.174,0.032,--,"66,822,058","1,218,414","8,228,521",0,"3,477,930","464,895",0,"11,732",0,"49,951",0,"76,318,944","3,954,557","476,627","76,783,839","3,489,662",83.2,1.5,10.3,0.0,4.3,0.6,0.0,0.0,0.0,0.1,0.0,95.1,4.9,0.6,95.7,4.3
Louisiana,LA,22,"36,572","682,130,858","321,897,074","875,338,035","405,683,819","106,842,115","48,629,430","43,820","21,788","38,597","46,949,097","5,280,308","774,004","47,124,511",--,0.820,0.896,0.723,878.850,0.049,0.007,882.134,--,0.128,0.135,0.113,137.654,--,0.989,1.081,0.871,"1,059.951",0.060,0.009,--,1.365,0.651,0.973,1.029,1.367,0.477,1.100,1.114,4.374,0.237,0.020,0.871,"2,222.219",981.895,839.229,"1,113.707",--,--,0.118,0.135,0.136,0.131,0.117,0.122,0.148,0.138,0.379,0.049,0.003,0.111,192.596,202.969,117.364,141.707,--,--,1.194,1.281,1.005,"1,210.697",0.071,0.010,--,"12,013,649","4,819,225","66,052,455","17,151,826","1,103,023","2,876,273",0,0,0,"2,131,813","693,853","102,862,821","3,979,296","2,876,273","88,587,267","18,254,849",11.2,4.5,61.8,16.1,1.0,2.7,0.0,0.0,0.0,2.0,0.6,96.3,3.7,2.7,82.9,17.1
Massachusetts,MA,25,"19,517","214,741,474","110,541,023","285,486,654","137,978,503","31,951,671","15,969,948","8,348","3,597","3,625","13,121,389","3,216,975","419,756","13,220,229",--,0.523,0.450,0.227,821.327,0.101,0.013,827.514,--,0.078,0.065,0.034,122.206,--,0.655,0.564,0.284,"1,028.998",0.126,0.016,--,0.992,2.786,0.183,0.283,0.828,2.460,0.170,0.237,0.906,0.732,0.077,0.154,"2,187.494","1,275.986",875.785,989.178,--,--,0.092,0.282,0.025,0.037,0.072,0.251,0.023,0.031,0.084,0.074,0.010,0.020,202.801,129.241,119.643,129.495,--,--,0.444,0.367,0.222,"1,044.504",0.066,0.009,--,"1,874,932","422,281","21,143,936","5,414,318","212,066","2,061,560","216,123","605,928",0,528,-3,"28,855,992","3,095,677","2,883,611","25,503,234","6,448,435",5.9,1.3,66.2,16.9,0.7,6.5,0.7,1.9,0.0,0.0,0.0,90.3,9.7,9.0,79.8,20.2
Maryland,MD,24,"18,265","213,465,642","116,094,737","387,480,354","187,663,607","37,166,747","17,960,669","11,548","6,051","17,541","18,819,051","2,912,422","614,641","18,944,898",--,0.621,0.674,0.944,"1,012.682",0.078,0.017,"1,019.454",--,0.108,0.104,0.164,176.319,--,1.139,1.235,1.730,"1,856.049",0.144,0.030,--,0.827,36.055,1.268,0.982,0.761,32.096,1.277,0.969,2.382,25.986,0.302,1.707,"2,124.875","6,454.871","1,441.410","1,901.952",--,--,0.079,0.910,0.122,0.094,0.072,1.007,0.122,0.092,0.226,0.656,0.029,0.163,202.020,162.860,138.698,181.384,--,--,1.207,1.158,1.970,"1,895.823",0.135,0.029,--,"13,826,213","160,609","5,423,046","14,760,177","1,392,187","870,075","527,114","208,657",0,0,"-1,332","34,168,713","2,998,033","1,605,846","20,278,611","16,888,135",37.2,0.4,14.6,39.7,3.7,2.3,1.4,0.6,0.0,0.0,0.0,91.9,8.1,4.3,54.6,45.4
Maine,ME,23,"5,718","58,575,397","26,558,868","100,532,885","41,350,488","11,514,427","4,892,132","3,326","1,383","1,666","1,939,972","1,885,988","268,057","2,001,324",--,0.578,0.566,0.289,336.964,0.164,0.023,347.620,--,0.114,0.104,0.057,66.238,--,0.972,0.951,0.487,566.611,0.275,0.039,--,0.000,1.944,0.133,0.181,0.000,2.431,0.123,0.144,0.000,7.788,0.004,0.208,0.000,"2,030.186",818.286,850.006,--,--,0.000,0.164,0.019,0.026,0.000,0.174,0.018,0.021,0.000,0.658,0.001,0.030,0.000,171.594,118.826,121.155,--,--,0.589,0.445,0.515,694.601,0.117,0.017,--,"69,823","109,781","3,498,482",0,"2,999,688","2,918,417","1,667,103",0,0,"148,580","102,553","3,929,219","7,585,208","4,585,520","6,847,636","4,666,791",0.6,1.0,30.4,0.0,26.1,25.3,14.5,0.0,0.0,1.3,0.9,34.1,65.9,39.8,59.5,40.5
Michigan,MI,26,"36,977","716,544,289","333,490,415","1,104,407,307","496,762,597","112,121,790","49,826,037","46,618","20,540","86,271","61,658,803","7,008,285","1,753,601","62,004,198",--,0.832,0.824,1.539,"1,099.854",0.063,0.016,"1,106.015",--,0.130,0.123,0.241,172.100,--,1.242,1.232,2.299,"1,643.088",0.093,0.023,--,1.562,6.020,0.419,1.104,1.497,7.121,0.441,1.067,3.925,4.378,0.037,2.329,"2,262.303","1,487.853",895.730,"1,699.032",--,--,0.144,0.865,0.055,0.116,0.137,1.057,0.056,0.111,0.362,0.629,0.005,0.245,208.567,213.765,117.973,178.840,--,--,1.401,1.319,2.918,"1,824.820",0.109,0.026,--,"40,526,873","818,979","29,295,154","31,551,710","812,705","2,634,948","4,695,783","9,235",0,"1,774,317","2,087","103,969,120","8,152,671","7,339,966","75,052,357","37,069,433",36.1,0.7,26.1,28.1,0.7,2.4,4.2,0.0,0.0,1.6,0.0,92.7,7.3,6.5,66.9,33.1
